sample_id,origin,path,sha256,size_bytes,format,label,serializer,container_chain,Inner_pickle_path,repo_id,used_in_RQ
2-2-C-00032,Craft Benign,data/craft_benign/2-2-C-00032.pkl,8c1a53d168fb5e418f9a20fb77a3c5955eba855d8c1a9327faad4e53bf531df5,87,pkl,F,pickle,raw,,,2
2-2-C-00033,Craft Benign,data/craft_benign/2-2-C-00033.pkl,4bd37526436f0bce8891ff1b92b6a8fe5b3f991384e03b4c40a53e404ee28979,129,pkl,F,pickle,raw,,,2
2-2-C-00034,Craft Benign,data/craft_benign/2-2-C-00034.pkl,f275abae42484007bff99cb884fa7d9310b6d02f6d216c5c54aa88b54b428ce7,369,pkl,F,pickle,raw,,,2
2-2-C-00035,Craft Benign,data/craft_benign/2-2-C-00035.pkl,826b36e461f0d5c361f5f0fe02fce40b369621e05c45a67e7c766765eb59a977,4209,pkl,F,pickle,raw,,,2
2-2-C-00036,Craft Benign,data/craft_benign/2-2-C-00036.pkl,d86794956d2df54c84bffb79dbf300cc9b940872be5c77a4ae6619a4f8d26d00,65649,pkl,F,pickle,raw,,,2
2-2-C-00037,Craft Benign,data/craft_benign/2-2-C-00037.pkl,458603f384450e7d496fb59de7b3cb62f4904dfa13b4a5b2e627ac56ff9fc474,67,pkl,F,pickle,raw,,,2
2-2-C-00038,Craft Benign,data/craft_benign/2-2-C-00038.pkl,16eb15a197c4b68d205d1e6a3b68e561033e0367a5840131a8b99c792a94ca1b,67,pkl,F,pickle,raw,,,2
2-2-C-00039,Craft Benign,data/craft_benign/2-2-C-00039.pkl,5c73f89e279dfdc1ebb8de358278dfa5cf04ed6eb52a0bb8f705626d5708c14a,67,pkl,F,pickle,raw,,,2
2-2-C-00040,Craft Benign,data/craft_benign/2-2-C-00040.pkl,be9ae8052c5eff95167e9449c127d1f6e6a4b4335fd93ffb9757d0563dc5e273,67,pkl,F,pickle,raw,,,2
2-2-C-00041,Craft Benign,data/craft_benign/2-2-C-00041.bin,674fae98704b7311441f8a28a253f0248a20314c9607cfd1b47c766c3f081fd0,2341,bin,F,pickle,zip,,,2
2-2-C-00042,Craft Benign,data/craft_benign/2-2-C-00042.bin,e526b7b9bc1e61d67155f06b5004586ff06add6b6a55b9843478a08f98ec2a76,2341,bin,F,pickle,zip,,,2
2-2-C-00043,Craft Benign,data/craft_benign/2-2-C-00043.bin,a7c216661339ab421c265622b126a7468e199ef264e9d1038e097d98f9eee4f2,2341,bin,F,pickle,zip,,,2
2-2-C-00044,Craft Benign,data/craft_benign/2-2-C-00044.bin,bf3ad990e60e4a6b5f67efec74c9e013a1fbd4bd3cdac7c1c80b998a37c9485a,2341,bin,F,pickle,zip,,,2
2-2-C-00045,Craft Benign,data/craft_benign/2-2-C-00045.bin,3bbf3f04af2503ea0132fdf8baa223c669fadb34b652555223bf9c36457a6337,2341,bin,F,pickle,zip,,,2
2-2-D-00001,Craft Malicious,data/craft_malicious/2-2-D-00001.pkl,52e1832d47ce9423e16af15cd27a303ebabda2648d09ccb0ee129310c1483618,64,pkl,F,pickle,raw,,,2
2-2-D-00002,Craft Malicious,data/craft_malicious/2-2-D-00002.pkl,547f3facb1669ec9650f1c98970fd2b24766b412bb7a9ff196fd35a3b939adb8,61,pkl,F,pickle,raw,,,2
2-2-D-00003,Craft Malicious,data/craft_malicious/2-2-D-00003.pkl,49c4a27b28aeaaa23fa5d76cbd37d4fe7b8f1336f4117b62eec389bbf609a1b0,59,pkl,F,pickle,raw,,,2
1-1-C-00001,Craft Loading Path,data/craft_loading_path/1-1-C-00001.pt,f5242f1096af61ec325f3f56501cc08a63ec4c52025807c53fe9a9e68d9e93d9,2209,pt,na,pickle,zip,,,1
1-1-C-00002,Craft Loading Path,data/craft_loading_path/1-1-C-00002.bin,7c40754c52f8dc172589a915ec29e1c7f64f634cfc9d7d923296758b45eb0e85,2209,bin,na,pickle,zip,,,1
1-1-C-00003,Craft Loading Path,data/craft_loading_path/1-1-C-00003.pth,a47846ceababc9b93f69791f0e713a024f8799baff38b0f444693b708403de11,2145,pth,na,pickle,zip,,,1
1-1-C-00004,Craft Loading Path,data/craft_loading_path/1-1-C-00004.ckpt,f9b40ddb83b81385d6b4965b400eb1cdb63a40169ac25a069c6e9bdb06315b2e,2209,ckpt,na,pickle,zip,,,1
1-1-C-00005,Craft Loading Path,data/craft_loading_path/1-1-C-00005.pt,c9e916ace3e8ce89a917612226a73da1ae78ca8cbc2980e68534b6d391833095,757,pt,na,pickle,raw,,,1
1-1-C-00006,Craft Loading Path,data/craft_loading_path/1-1-C-00006.bin,7314f226f9623406118f12cc1871e45b98ffdf4a3d992ba74719e86028733c0b,757,bin,na,pickle,raw,,,1
1-1-C-00007,Craft Loading Path,data/craft_loading_path/1-1-C-00007.npy,40785b871d128f9729d49902dea29aeeb00531f27f0d46a70a1e906edbea8103,395,npy,na,numpy_allow_pickle,raw,,,1
1-1-C-00008,Craft Loading Path,data/craft_loading_path/1-1-C-00008.npz,995f34df32be4bd275448339db619eb0840f451273143e49da3b58f78c97a20f,531,npz,na,numpy_allow_pickle,zip,,,1
1-1-C-00009,Craft Loading Path,data/craft_loading_path/1-1-C-00009.npz,13d1b801dd1b04b8b1ec83b14badbeef5ba93603ee18d262f49428542d603f96,416,npz,na,numpy_allow_pickle,zip,,,1
1-1-C-00010,Craft Loading Path,data/craft_loading_path/1-1-C-00010.joblib,db4b6ba7376f5c6471195900694f569b55fe5c1b9c8d10e7d1555f8e6cbe958c,160,joblib,na,joblib,raw,,,1
1-1-C-00011,Craft Loading Path,data/craft_loading_path/1-1-C-00011.joblib,bec2293c217fe2df123d2a69193767160589d0473d8212938d4dffc31a4fd13a,144,joblib,na,joblib,gz,,,1
1-1-C-00012,Craft Loading Path,data/craft_loading_path/1-1-C-00012.dill,b1f7e642792a2944dcdfee0103ea75248b8faca62d0bc5e95bf1f219547ac59d,160,dill,na,dill,raw,,,1
1-1-C-00013,Craft Loading Path,data/craft_loading_path/1-1-C-00013.pkl,0b66351baf8e006d12d404ba011b96e3a6d136779ca55e0c92e882eb64fd261b,160,pkl,na,cloudpickle,raw,,,1
1-1-C-00014,Craft Loading Path,data/craft_loading_path/1-1-C-00014.pkl,621f30087330386bfc0cdeb77555f935acf25d55f23f1ce0296de2c7d7cd4567,160,pkl,na,pickle,raw,,,1
1-1-C-00015,Craft Loading Path,data/craft_loading_path/1-1-C-00015.pkl,16287496e6adadc36e71d8059beef20d396c3deb54b1fd6dc0b06c382a7432b3,131,pkl,na,pickle,raw,,,1
1-1-C-00016,Craft Loading Path,data/craft_loading_path/1-1-C-00016.zip,478d45ba80d25221ebf24f19f43cbec869500b58447aed8a47dc3f5be53d44ce,265,zip,na,pickle,zip,,,1
1-1-C-00017,Craft Loading Path,data/craft_loading_path/1-1-C-00017.tar,42e0ca066c6195d630cbf5d8c96c58b51c945cc952ba926ae7063fe61cf5e006,10240,tar,na,pickle,tar,,,1
1-1-C-00018,Craft Loading Path,data/craft_loading_path/1-1-C-00018.gz,a8a70d9041355a8b6a4c7a73ca555ac3d14701245c897a918228ea024440ce6b,240,gz,na,pickle,gz>tar,,,1
1-1-C-00019,Craft Loading Path,data/craft_loading_path/1-1-C-00019.gz,2fbefd68cdddaa33c0742803cb1840ce9a55eaf3b9ba9b33266d666291f912dd,157,gz,na,pickle,gz,,,1
1-1-C-00020,Craft Loading Path,data/craft_loading_path/1-1-C-00020.z,068392f927c0be70b04b7fca6cb00da02e0188f0d05c1623648397d53189ee4b,145,z,na,pickle,zlib,,,1
1-1-C-00021,Craft Loading Path,data/craft_loading_path/1-1-C-00021.zip,30b999d5e6edad4ad139e2d79ac541f71561d5ace336ac13e838f50665f2ac8f,1051,zip,na,pickle,zip>zip,,,1
1-1-C-00022,Craft Loading Path,data/craft_loading_path/1-1-C-00022.safetensors,a59799f04a1eb6a2c7eb04d445f3b2ba043221a5d844d5eefd46d788fa2463d8,2209,safetensors,na,pickle,zip,,,1
1-1-C-00023,Craft Loading Path,data/craft_loading_path/1-1-C-00023.pkl,9d1d2b3b3cfdf7f9f37fd37a944b673bb10156892f606b3743ed29c95e8fb17a,166,pkl,na,pickle,raw,,,1
1-1-C-00024,Craft Loading Path,data/craft_loading_path/1-1-C-00024.pkl,cd0ae9a80ebc35d5a4ba52b760d5b570c1f63f1a9d1acc989bf0a4f735a13db7,159,pkl,na,pickle,raw,,,1
1-1-C-00025,Craft Loading Path,data/craft_loading_path/1-1-C-00025.pkl,0e18e0d23521822b7de32ff4f2f090320f1d65d1ecb8bc9c98c23f06847860ea,67,pkl,na,pickle,raw,,,1
1-1-C-00026,Craft Loading Path,data/craft_loading_path/1-1-C-00026.pkl,a28546f4cc51bdabb179c01147118423a216dd99a20b048bac2b0a27d7c5e06d,69,pkl,na,pickle,raw,,,1
1-1-C-00027,Craft Loading Path,data/craft_loading_path/1-1-C-00027.pt,2a5d2cf593d03241a4afece63c979a324d2ba64114f2364f35fc42b6091788d9,910,pt,na,pickle,raw,,,1
1-1-C-00028,Craft Loading Path,data/craft_loading_path/1-1-C-00028.pt,07d565a2474a45e7145e9df8379d9a1452743bc74fb2fe0a6b15a456118d1b56,780,pt,na,pickle,raw,,,1
1-1-C-00029,Craft Loading Path,data/craft_loading_path/1-1-C-00029.joblib,4a385c6a4cabb67b13797ec553e0d9a5d6b57661de64c584d53c56a8a16a7269,166,joblib,na,joblib,raw,,,1
1-1-C-00030,Craft Loading Path,data/craft_loading_path/1-1-C-00030.joblib,69cb88243983c84c93a22d5e99bd711f56c59358c8920637f990b2e56e4e6353,159,joblib,na,joblib,raw,,,1
1-1-C-00031,Craft Loading Path,data/craft_loading_path/1-1-C-00031.zip,d34a9c59b06a6391762625c884be5e7a737dd481718f11b26262300fc1667d02,327,zip,na,pickle,zip>zip,,,1
1-1-C-00032,Craft Loading Path,data/craft_loading_path/1-1-C-00032.tar,de76e842461c841d0addd82f56eaa91cbfb94b972631b4fa5ca33254cf1036b9,10240,tar,na,pickle,tar>gz,,,1
1-1-C-00033,Craft Loading Path,data/craft_loading_path/1-1-C-00033.gz,9cdf0a1e538e1123c12c14e0c657024bdefc57b504caceeb853fdca829a1a9df,237,gz,na,pickle,gz>tar,,,1
1-1-C-00034,Craft Loading Path,data/craft_loading_path/1-1-C-00034.zip,0fbac358a68e13fa372f6acf22f97e6ecb729fbf27e4b0395db9642ebc7b721b,339,zip,na,pickle,zip>tar,,,1
1-1-C-00035,Craft Loading Path,data/craft_loading_path/1-1-C-00035.gz,6d07e0d6bebb3817daad712a7fac9d746ce21cde8eb5cc3a8cec6f0773fa6a92,181,gz,na,pickle,gz>gz,,,1
1-1-C-00036,Craft Loading Path,data/craft_loading_path/1-1-C-00036.pkl,98b376ae9aa531b69d4faecd1691bcc7b5731c1f1457e6bc4322bd2a3abaf0ef,1098,pkl,na,pickle,raw,,,1
1-1-C-00037,Craft Loading Path,data/craft_loading_path/1-1-C-00037.pkl,ff92a18815b42c96249b7b4035bc6734db18d2a1ff1e9dbd0776ca737175edd3,4170,pkl,na,pickle,raw,,,1
1-1-C-00038,Craft Loading Path,data/craft_loading_path/1-1-C-00038.pkl,234405c33ad925786fc0533d2fee36613245e9e4b687fb9e97db721075dccf63,16458,pkl,na,pickle,raw,,,1
1-1-C-00039,Craft Loading Path,data/craft_loading_path/1-1-C-00039.pkl,c91c4aeb94640a76dc6ac0ff8fd0b7d9c7c53fb38fefb6810f78a553da567e67,65619,pkl,na,pickle,raw,,,1
1-1-C-00040,Craft Loading Path,data/craft_loading_path/1-1-C-00040.pkl,9b3ca8765860481d9bc40b8b141a06f3bb0d6e0fe5a5dc21de85f225d60f20d6,262227,pkl,na,pickle,raw,,,1
1-1-C-00041,Craft Loading Path,data/craft_loading_path/1-1-C-00041.pkl,ac790a4210d94fb2be8577035dd02cefb297442436c99f4b548f00501d5d2864,159,pkl,na,pickle,raw,,,1
1-1-C-00042,Craft Loading Path,data/craft_loading_path/1-1-C-00042.pkl,01fdde80dd845b43b82655c3d47744bffdcdff2c0c41795e87a0301fc6ef8890,395,pkl,na,pickle,raw,,,1
3-3-G-00001,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00001.pkl,75c4ade14cd583c3d3965555af84c71fca1b29bca2067d703033ceb837f6a7aa,127,pkl,T,pickle,raw,,,2
3-3-G-00002,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00002.pkl,ec343220f183bd498cf088c1720eebb57e475d4f6b0685d6d7f0fb541eb3c060,77,pkl,T,pickle,raw,,,2
3-3-G-00003,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00003.pkl,044f66144ba692be7c4e9c0fbfcf460525c56654c7e34d9ccee541aecb9168f4,141,pkl,T,pickle,raw,,,2
3-3-G-00004,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00004.pkl,fe4e0cd4053fd64be9cc92d0fbbc9092a24ce90a4a4bd5b29471d64276b4c357,135,pkl,T,pickle,raw,,,2
3-3-G-00005,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00005.pkl,2adfb1a69f1470f6095de1dc7b1d6ea9719b145f49a19f917c617bcc70e87caa,83,pkl,T,pickle,raw,,,2
3-3-G-00006,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00006.pkl,ddf6c6ca1d2b2a942eec7230babe0d34bf912ab9c3f2e150a35866aacc8f6be8,117,pkl,T,pickle,raw,,,2
3-3-G-00007,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00007.pkl,be94f701065aba722ce4e04a050eafa9999110aa32df9e0f05a1b5e87c6b1ca7,144,pkl,T,pickle,raw,,,2
3-3-G-00008,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00008.pkl,af05edaa04e3dd7dee64eb9d356d117d7532c2eedea40293f7a26f803deb1613,120,pkl,T,pickle,raw,,,2
3-3-G-00009,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00009.pkl,dab03322b26635f1876a593d4a5aa91772963615637eba41a3807c1efd510d4a,96,pkl,T,pickle,raw,,,2
3-3-G-00010,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00010.pkl,69fe1c54db4d2ab256fdf9e3fa14e887a16102a383a054746fed3ccec0a61565,187,pkl,T,pickle,raw,,,2
3-3-G-00011,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00011.pkl,2b0cb0baeba1b8058f6df7ebdb8a572eb13e1f4ce51004887c105a088dd3454d,143,pkl,T,pickle,raw,,,2
3-3-G-00012,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00012.pkl,1c32b19d47d33b369b6e71544385b52708922b4803defaa1c971fad132b46d98,119,pkl,T,pickle,raw,,,2
3-3-G-00013,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00013.pkl,d7df454a7802e11d24931ca782b419992a376fba6bdb939c6abb9da4b16c9ae1,78,pkl,T,pickle,raw,,,2
3-3-G-00014,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00014.pkl,e970eba22cde7dd8ec235a1708254c902a88d9a2700c544ad2224eb21ba829fb,96,pkl,T,pickle,raw,,,2
3-3-G-00015,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00015.pkl,29babe043dcead97c88e2cd6ed91ae0e781e74e5f577c00b80c83ed250ed2dac,180,pkl,T,pickle,raw,,,2
3-3-G-00016,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00016.pkl,5cb37edf2a3623cf941e6048ca98f26abb21b597afd1c0dfb51913e435dbe346,195,pkl,T,pickle,raw,,,2
3-3-G-00017,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00017.pkl,49c370f0f8deb56789799d2ac0f58d4f8cffb7e14158c15721368c5ee149f764,119,pkl,T,pickle,raw,,,2
3-3-G-00018,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00018.pkl,6da8c07d112d4b86e6ca8a76959f443ab5a9b3d340d39c3fe1c9e03d6a301ca1,109,pkl,T,pickle,raw,,,2
3-3-G-00019,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00019.pkl,ab3ba3ee1c0672dd976205f5424d14baaeb383b4109e16f202150114eac7096a,110,pkl,T,pickle,raw,,,2
3-3-G-00020,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00020.pkl,e4b76003c02fc5f4b5f3a595c8b85760841eefc9bbc50401394a1c5c154cba10,131,pkl,T,pickle,raw,,,2
3-3-G-00021,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00021.pkl,a0569f43f4275f3287e0b4d136d83906e8be9377d721c7d58ebd43dce06dfd33,169,pkl,T,pickle,raw,,,2
3-3-G-00022,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00022.pkl,d8536cbd587041b1b59d969938342ec66541bc73c1034670361b1f6a430c2e8b,193,pkl,T,pickle,raw,,,2
3-3-G-00023,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00023.pkl,a031eab8d777efc129a096cc32b49bd3459f3810729dc848a53a6744f51b0cac,66,pkl,T,pickle,raw,,,2
3-3-G-00024,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00024.pkl,3dfbc12ebf300e601f09a9de4ad0120363699f943b14241042d210db3c294c5b,116,pkl,T,pickle,raw,,,2
3-3-G-00025,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00025.pkl,4c49754386a8428a9784108861a1ea99e5a9871c8698a39b22b33ca371a4dc39,103,pkl,T,pickle,raw,,,2
3-3-G-00026,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00026.pkl,6a95116ba18f00cf423ddffeffc12926d56bb23bd7358f1afa8c9f8a0816dff2,111,pkl,T,pickle,raw,,,2
3-3-G-00027,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00027.pkl,2b750789d5faf359dadc2ca9a67ecaa896608034f9feeecb648feb65e6c3572b,153,pkl,T,pickle,raw,,,2
3-3-G-00028,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00028.pkl,141870b0ee0664bbd513274e699e9822c0756acf7a542d5773ff9bf5ab477ae0,118,pkl,T,pickle,raw,,,2
3-3-G-00029,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00029.pkl,8641064acfa18b1a54de88b2eb9b798b9679ebd4a6dbf8f036b92ddf1b0e2568,114,pkl,T,pickle,raw,,,2
3-3-G-00030,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00030.pkl,ef2f4515966ea149aeac2d3029d8ce18ec19b3a7af529e3cb29a1388ad8d6f80,209,pkl,T,pickle,raw,,,2
3-3-G-00031,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00031.pkl,b3ea70a2c71cc9b42c05ac3ca1cc28f8381795f1a44b9b464cd3fe1773e03841,74,pkl,T,pickle,raw,,,2
3-3-G-00032,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00032.pkl,929621795f60d170b93e614be39a1396542a661c28bebad7e1f751185f90fd84,121,pkl,T,pickle,raw,,,2
3-3-G-00033,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00033.pkl,6a379b31c4a8e94a031bc83ff28028719b1b78ece71ade9b08e6c475dd820c36,130,pkl,T,pickle,raw,,,2
3-3-G-00034,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00034.pkl,9ccfe9f6db4a393eff4f42e863483f192d81d8f2543ddeb1c45d89bb9d8fab99,73,pkl,T,pickle,raw,,,2
3-3-G-00035,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00035.pkl,c9a4789d9503bdb298a66ec2645ccd41e6aab5b4c8b4bf88e1e3a7cf6df6e47c,148,pkl,T,pickle,raw,,,2
3-3-G-00036,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00036.pkl,68922d0f7c4c0e62c9abf290f584771b77326b42f6dfe0baab90e2a13840e73c,83,pkl,T,pickle,raw,,,2
3-3-G-00037,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00037.pkl,f701418e168cfc738b45ab423679a00f72e6da14f5553e7f60416b3d22bbef9a,91,pkl,T,pickle,raw,,,2
3-3-G-00038,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00038.pkl,2f90c9821361b991ab68a7d87a93ae862038528727f6ef9c4497777f5d95f5b5,124,pkl,T,pickle,raw,,,2
3-3-G-00039,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00039.pkl,7073703e3bd567d9764a4cca341bb0915137864fc00e2613a406156f7d55480c,120,pkl,T,pickle,raw,,,2
3-3-G-00040,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00040.pkl,7f4981ff590f20150b1a44089fbd3bac5895e6812b8ef04ac931a35640afecc4,140,pkl,T,pickle,raw,,,2
3-3-G-00041,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00041.pkl,da561c1604aff57c325a77d4a57ddea8d90f1f618b9a948ffd045634054fe2b3,149,pkl,T,pickle,raw,,,2
3-3-G-00042,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00042.pkl,836145e72830d550fc586e151854931b3ff70d090c28115be2913fa138d0a2f9,154,pkl,T,pickle,raw,,,2
3-3-G-00043,Craft Public-PoC Variants,data/craft_public_poc_variants/3-3-G-00043.pkl,6471ede7acd502128c5b89af6324904db09bd4bdabe33964cc309709f9087e1c,145,pkl,T,pickle,raw,,,2
